,Normalized_DF,state
0,10.050218772810542,W
1,9.454520430114878,W
2,11.49315173888935,W
3,12.004931452383447,W
4,9.615365030196552,W
5,12.523157374006027,W
6,12.41799540549474,W
7,13.33045200752709,W
8,9.645650718066008,W
9,10.23858762791265,W
10,11.398732118616284,W
11,9.492501263333525,W
12,10.04485101513134,W
13,9.075801656439133,W
14,10.216417549285026,W
15,11.898025641603716,W
16,9.341807159355671,W
17,12.501358980549593,W
18,13.03805842430374,W
19,11.912829391267847,W
20,9.678361639430783,W
21,9.573146132557524,W
22,8.939358198735894,W
23,9.717933651530249,W
24,11.38708141495796,W
25,11.008170132677636,W
26,12.706932173865637,W
27,11.515446798542651,W
28,11.964938578346025,W
29,11.881880567394685,W
30,11.308407007679111,W
31,13.110989853327476,W
32,9.192184657845567,W
33,10.390145520120605,W
34,12.541001321313674,W
35,10.452983344676817,W
36,7.054555225003956,W
37,11.57993046258083,W
38,11.642593872258912,W
39,8.23804075129015,W
40,11.657143044251688,W
41,11.7646881989177,W
42,12.079499631343454,W
43,6.2797028276191575,W
44,11.25246766456672,W
45,10.853472378817758,W
46,12.775114163409256,W
47,12.695365442629637,W
48,7.044236811125733,W
49,11.906283238226203,W
50,12.61017048937648,W
51,6.784932670872275,W
52,9.088417578137461,W
53,8.886117779198914,W
54,8.451564774810636,W
55,8.994263687406574,W
56,2.0781237031305704,W
57,6.438015058019379,W
58,3.0539797051388384,W
59,4.670155105829835,W
60,5.862507260108537,W
61,5.427995630774397,W
62,7.099712272828123,W
63,5.457268961847465,W
64,7.916785715873421,W
65,7.784309700729888,W
66,5.981640353977973,W
67,3.5845026977942083,W
68,4.337593381317173,W
69,1.6506220283748878,W
70,6.119242017511569,W
71,6.44777418486951,W
72,4.120143804292659,W
73,2.4775157984567935,W
74,3.8195777374334026,W
75,8.20415997365713,W
76,5.643013143823288,W
77,5.352555301007452,W
78,6.439948066463402,W
79,6.681299343256233,W
80,6.93918294633328,W
81,2.211135881537168,W
82,2.7621131115483366,W
83,2.5436092950164255,W
84,2.6176223594595647,W
85,2.4282182153430028,W
86,2.600150619660675,W
87,2.661671609335653,W
88,2.754782117105556,W
89,2.8038538144988223,W
90,2.8419423260674037,W
91,3.1003755194379057,W
92,2.7024845241602584,W
93,2.6331880454245877,W
94,2.7793941815369587,W
95,3.192852173683817,W
96,3.0117324925738718,W
97,2.942949234069089,W
98,2.883311427716093,W
99,1.7316210979371423,W
100,1.6544043861117697,W
101,1.8813608434340818,W
102,1.7224139413926318,W
103,2.0904557506725223,W
104,1.5645050372135432,W
105,2.185977754769403,W
106,2.207804323827828,W
107,1.9969115622721543,W
108,2.32748325614165,W
109,2.165517243765191,W
110,1.7319530940463197,W
111,1.5131034966630643,W
112,2.294080427947993,W
